Crime_ID,Crime_Date,Month,District,Crime_Type,Response_Time_Hours,Action_Taken,Severity_Level,Days,Year,
120,29-Apr-19,April,East Delhi,Assault,109,FIR Registered,Medium,4days 13Hours,2019,
121,3-Oct-22,October,North Delhi,Fraud,41,Accused Arrested,Medium,1days 17Hours,2022,
122,11-Nov-20,November,Central Delhi,Robbery,29,Accused Arrested,Medium,1days 5Hours,2020,
123,16-Dec-22,December,East Delhi,Fraud,15,Accused Arrested,Medium,0days 15Hours,2022,
124,27-Aug-22,August,West Delhi,Robbery,45,FIR Registered,Medium,1days 21Hours,2022,
125,26-Aug-19,August,East Delhi,Fraud,65,FIR Registered,Medium,2days 17Hours,2019,
126,22-Sep-22,September,North East Delhi,Cyber Crime,89,Case Closed,Medium,3days 17Hours,2022,
127,22-Apr-21,April,South Delhi,Fraud,71,FIR Registered,Medium,2days 23Hours,2021,
128,30-May-21,May,Central Delhi,Kidnapping,9,Under Investigation,High,0days 9Hours,2021,
129,6-Sep-22,September,North Delhi,Theft,88,Under Investigation,Low,3days 16Hours,2022,
130,18-May-21,May,North Delhi,Theft,1,Case Closed,Low,0days 1Hours,2021,
131,4-Jan-21,January,South East Delhi,Kidnapping,108,FIR Registered,High,4days 12Hours,2021,
132,21-May-20,May,South Delhi,Robbery,8,No Action,Medium,0days 8Hours,2020,
133,14-Nov-21,November,North Delhi,Kidnapping,88,Case Closed,High,3days 16Hours,2021,
134,1-Dec-23,December,North West Delhi,Kidnapping,63,Under Investigation,High,2days 15Hours,2023,
135,30-Sep-20,September,West Delhi,Robbery,11,FIR Registered,Medium,0days 11Hours,2020,
136,3-Apr-23,April,South East Delhi,Murder,115,Accused Arrested,High,4days 19Hours,2023,
137,19-Jun-23,June,North East Delhi,Fraud,81,Case Closed,Medium,3days 9Hours,2023,
138,22-Jun-19,June,North West Delhi,Cyber Crime,8,Case Closed,Medium,0days 8Hours,2019,
139,24-Nov-21,November,North West Delhi,Domestic Violence,35,Under Investigation,Hight,1days 11Hours,2021,
140,20-Feb-19,February,East Delhi,Assault,35,FIR Registered,Medium,1days 11Hours,2019,
141,28-Jun-22,June,North East Delhi,Fraud,33,Under Investigation,Medium,1days 9Hours,2022,
142,26-Feb-19,February,South Delhi,Murder,5,Under Investigation,High,0days 5Hours,2019,
143,21-Jul-19,July,South Delhi,Cyber Crime,106,FIR Registered,Medium,4days 10Hours,2019,
144,9-Jan-23,January,North East Delhi,Robbery,103,Accused Arrested,Medium,4days 7Hours,2023,
145,1-Mar-20,March,West Delhi,Fraud,41,Under Investigation,Medium,1days 17Hours,2020,
146,19-Apr-23,April,North Delhi,Robbery,28,Accused Arrested,Medium,1days 4Hours,2023,
147,10-Sep-23,September,East Delhi,Theft,7,FIR Registered,Low,0days 7Hours,2023,
148,9-Jun-21,June,East Delhi,Robbery,73,Case Closed,Medium,3days 1Hours,2021,
149,22-Dec-21,December,North Delhi,Kidnapping,72,No Action,High,3days 0Hours,2021,
150,26-Oct-20,October,West Delhi,Fraud,12,No Action,Medium,0days 12Hours,2020,
151,13-Sep-19,September,South Delhi,Kidnapping,34,Under Investigation,High,1days 10Hours,2019,
152,14-Jun-21,June,South East Delhi,Fraud,33,Under Investigation,Medium,1days 9Hours,2021,
153,21-Apr-20,April,South Delhi,Theft,48,Under Investigation,Low,2days 0Hours,2020,
154,26-Jan-19,January,Central Delhi,Fraud,119,Under Investigation,Medium,4days 23Hours,2019,
155,28-Mar-23,March,North East Delhi,Murder,23,Accused Arrested,High,0days 23Hours,2023,
156,30-Aug-19,August,South Delhi,Assault,62,Accused Arrested,Medium,2days 14Hours,2019,
157,17-Jun-21,June,North West Delhi,Robbery,88,Under Investigation,Medium,3days 16Hours,2021,
158,3-Dec-19,December,South Delhi,Kidnapping,37,FIR Registered,High,1days 13Hours,2019,
159,29-Mar-23,March,North Delhi,Domestic Violence,99,Accused Arrested,Hight,4days 3Hours,2023,
160,10-Feb-23,February,East Delhi,Domestic Violence,44,Case Closed,Hight,1days 20Hours,2023,
161,7-Feb-20,February,Central Delhi,Domestic Violence,104,No Action,Hight,4days 8Hours,2020,
162,2-Feb-23,February,South Delhi,Cyber Crime,86,FIR Registered,Medium,3days 14Hours,2023,
163,14-Apr-19,April,West Delhi,Fraud,91,No Action,Medium,3days 19Hours,2019,
164,19-Jun-19,June,West Delhi,Theft,35,FIR Registered,Low,1days 11Hours,2019,
165,13-Sep-21,September,North Delhi,Fraud,65,Accused Arrested,Medium,2days 17Hours,2021,
166,12-May-20,May,East Delhi,Cyber Crime,99,FIR Registered,Medium,4days 3Hours,2020,
167,27-Apr-21,April,North East Delhi,Assault,101,No Action,Medium,4days 5Hours,2021,
168,2-Apr-23,April,North Delhi,Cyber Crime,47,FIR Registered,Medium,1days 23Hours,2023,
169,2-Jan-21,January,East Delhi,Kidnapping,78,FIR Registered,High,3days 6Hours,2021,
170,20-Oct-23,October,North East Delhi,Robbery,3,Case Closed,Medium,0days 3Hours,2023,
171,4-Dec-19,December,South Delhi,Fraud,1,Accused Arrested,Medium,0days 1Hours,2019,
172,7-Feb-22,February,North East Delhi,Cyber Crime,5,Case Closed,Medium,0days 5Hours,2022,
173,18-Jun-23,June,East Delhi,Kidnapping,90,FIR Registered,High,3days 18Hours,2023,
174,7-Jul-19,July,Central Delhi,Robbery,119,FIR Registered,Medium,4days 23Hours,2019,
175,13-Oct-20,October,North Delhi,Cyber Crime,14,No Action,Medium,0days 14Hours,2020,
176,24-Jan-22,January,North Delhi,Fraud,103,Accused Arrested,Medium,4days 7Hours,2022,
177,8-Mar-21,March,South East Delhi,Robbery,27,Case Closed,Medium,1days 3Hours,2021,
178,24-Jun-20,June,North West Delhi,Fraud,9,FIR Registered,Medium,0days 9Hours,2020,
179,19-Aug-22,August,East Delhi,Cyber Crime,79,Under Investigation,Medium,3days 7Hours,2022,
180,16-Feb-22,February,East Delhi,Theft,15,Under Investigation,Low,0days 15Hours,2022,
181,1-Apr-23,April,South Delhi,Fraud,90,FIR Registered,Medium,3days 18Hours,2023,
182,12-Aug-23,August,Central Delhi,Domestic Violence,42,FIR Registered,Hight,1days 18Hours,2023,
183,9-Jan-23,January,South Delhi,Murder,77,FIR Registered,High,3days 5Hours,2023,
184,2-Jul-23,July,West Delhi,Murder,51,Case Closed,High,2days 3Hours,2023,
185,30-Nov-20,November,North West Delhi,Domestic Violence,63,FIR Registered,Hight,2days 15Hours,2020,
186,20-Jan-19,January,East Delhi,Theft,96,Accused Arrested,Low,4days 0Hours,2019,
187,4-Feb-19,February,South East Delhi,Fraud,103,FIR Registered,Medium,4days 7Hours,2019,
188,12-Jun-23,June,North Delhi,Assault,113,FIR Registered,Medium,4days 17Hours,2023,
189,21-Jul-20,July,North West Delhi,Kidnapping,52,Case Closed,High,2days 4Hours,2020,
190,28-Feb-22,February,Central Delhi,Fraud,96,Accused Arrested,Medium,4days 0Hours,2022,
191,27-Sep-22,September,West Delhi,Fraud,4,FIR Registered,Medium,0days 4Hours,2022,
192,20-Dec-19,December,North Delhi,Murder,94,Case Closed,High,3days 22Hours,2019,
193,10-Mar-23,March,South East Delhi,Theft,101,Accused Arrested,Low,4days 5Hours,2023,
194,4-Jul-19,July,Central Delhi,Cyber Crime,23,FIR Registered,Medium,0days 23Hours,2019,
195,17-Nov-22,November,East Delhi,Fraud,103,Under Investigation,Medium,4days 7Hours,2022,
196,20-Jul-20,July,North East Delhi,Fraud,109,FIR Registered,Medium,4days 13Hours,2020,
197,23-Jul-20,July,North East Delhi,Domestic Violence,15,Accused Arrested,Hight,0days 15Hours,2020,
198,21-Apr-23,April,South Delhi,Robbery,43,Accused Arrested,Medium,1days 19Hours,2023,
199,8-Nov-20,November,North East Delhi,Domestic Violence,29,Under Investigation,Hight,1days 5Hours,2020,
200,14-May-20,May,North East Delhi,Robbery,36,FIR Registered,Medium,1days 12Hours,2020,
201,25-Sep-23,September,West Delhi,Cyber Crime,13,Under Investigation,Medium,0days 13Hours,2023,
202,16-Jun-21,June,North East Delhi,Cyber Crime,32,FIR Registered,Medium,1days 8Hours,2021,
203,8-Feb-21,February,East Delhi,Cyber Crime,71,FIR Registered,Medium,2days 23Hours,2021,
204,17-Aug-21,August,North West Delhi,Kidnapping,59,Under Investigation,High,2days 11Hours,2021,
205,8-Jan-20,January,East Delhi,Murder,115,Accused Arrested,High,4days 19Hours,2020,
206,10-Apr-23,April,East Delhi,Theft,86,FIR Registered,Low,3days 14Hours,2023,
207,21-Jan-20,January,Central Delhi,Kidnapping,28,Under Investigation,High,1days 4Hours,2020,
208,13-May-22,May,North East Delhi,Fraud,66,Accused Arrested,Medium,2days 18Hours,2022,
209,21-Oct-20,October,West Delhi,Theft,42,Under Investigation,Low,1days 18Hours,2020,
210,11-May-23,May,Central Delhi,Robbery,45,Accused Arrested,Medium,1days 21Hours,2023,
211,13-Jul-22,July,East Delhi,Robbery,62,FIR Registered,Medium,2days 14Hours,2022,
212,30-Aug-20,August,Central Delhi,Theft,57,Under Investigation,Low,2days 9Hours,2020,
213,30-Nov-22,November,North East Delhi,Kidnapping,117,Under Investigation,High,4days 21Hours,2022,
214,8-Aug-19,August,North East Delhi,Robbery,6,Case Closed,Medium,0days 6Hours,2019,
215,16-Apr-21,April,North West Delhi,Fraud,28,Accused Arrested,Medium,1days 4Hours,2021,
216,5-Jul-20,July,South East Delhi,Robbery,28,Under Investigation,Medium,1days 4Hours,2020,
217,12-Jul-19,July,East Delhi,Robbery,108,Accused Arrested,Medium,4days 12Hours,2019,
218,11-Apr-22,April,West Delhi,Kidnapping,44,FIR Registered,High,1days 20Hours,2022,
219,9-Aug-19,August,South Delhi,Kidnapping,84,Under Investigation,High,3days 12Hours,2019,
220,2-Jan-23,January,North West Delhi,Theft,30,Under Investigation,Low,1days 6Hours,2023,
221,9-Dec-22,December,North West Delhi,Cyber Crime,62,Under Investigation,Medium,2days 14Hours,2022,
222,28-May-21,May,North East Delhi,Fraud,75,Under Investigation,Medium,3days 3Hours,2021,
223,13-Nov-20,November,Central Delhi,Robbery,119,Case Closed,Medium,4days 23Hours,2020,
224,12-Apr-20,April,North Delhi,Murder,92,Accused Arrested,High,3days 20Hours,2020,
225,15-Apr-19,April,North Delhi,Kidnapping,89,Under Investigation,High,3days 17Hours,2019,
226,16-Apr-22,April,Central Delhi,Domestic Violence,103,Case Closed,Hight,4days 7Hours,2022,
227,5-May-22,May,South East Delhi,Robbery,62,Under Investigation,Medium,2days 14Hours,2022,
228,12-Dec-19,December,North Delhi,Fraud,97,Accused Arrested,Medium,4days 1Hours,2019,
229,3-Jun-21,June,West Delhi,Murder,1,Case Closed,High,0days 1Hours,2021,
230,12-Oct-19,October,Central Delhi,Murder,27,FIR Registered,High,1days 3Hours,2019,
231,31-Aug-19,August,South East Delhi,Assault,62,Accused Arrested,Medium,2days 14Hours,2019,
232,25-Dec-21,December,West Delhi,Theft,116,Under Investigation,Low,4days 20Hours,2021,
233,11-Dec-23,December,South East Delhi,Fraud,77,FIR Registered,Medium,3days 5Hours,2023,
234,25-Oct-20,October,South Delhi,Murder,105,Under Investigation,High,4days 9Hours,2020,
235,6-Dec-19,December,South East Delhi,Fraud,3,FIR Registered,Medium,0days 3Hours,2019,
236,21-Oct-19,October,North West Delhi,Kidnapping,103,Under Investigation,High,4days 7Hours,2019,
237,13-Sep-23,September,North East Delhi,Assault,70,Under Investigation,Medium,2days 22Hours,2023,
238,6-Aug-23,August,South East Delhi,Domestic Violence,72,FIR Registered,Hight,3days 0Hours,2023,
239,23-Aug-21,August,Central Delhi,Fraud,27,Under Investigation,Medium,1days 3Hours,2021,
240,19-Apr-23,April,North Delhi,Kidnapping,9,FIR Registered,High,0days 9Hours,2023,
241,24-Jan-23,January,South East Delhi,Assault,62,Under Investigation,Medium,2days 14Hours,2023,
242,14-Jan-19,January,North Delhi,Kidnapping,37,Under Investigation,High,1days 13Hours,2019,
243,19-Sep-19,September,North West Delhi,Robbery,97,Accused Arrested,Medium,4days 1Hours,2019,
244,30-Oct-23,October,North East Delhi,Murder,51,Case Closed,High,2days 3Hours,2023,
245,4-Apr-21,April,East Delhi,Assault,106,Case Closed,Medium,4days 10Hours,2021,
246,9-Mar-22,March,Central Delhi,Kidnapping,44,Under Investigation,High,1days 20Hours,2022,
247,29-May-23,May,North East Delhi,Theft,24,Under Investigation,Low,1days 0Hours,2023,
248,23-May-23,May,West Delhi,Domestic Violence,79,Accused Arrested,Hight,3days 7Hours,2023,
249,30-Jul-19,July,East Delhi,Theft,59,FIR Registered,Low,2days 11Hours,2019,
250,17-Sep-23,September,South Delhi,Murder,118,Under Investigation,High,4days 22Hours,2023,
251,20-Dec-20,December,East Delhi,Cyber Crime,32,Accused Arrested,Medium,1days 8Hours,2020,
252,28-Nov-22,November,West Delhi,Assault,96,FIR Registered,Medium,4days 0Hours,2022,
253,3-Aug-21,August,North Delhi,Assault,88,FIR Registered,Medium,3days 16Hours,2021,
254,24-Oct-21,October,South Delhi,Cyber Crime,105,Accused Arrested,Medium,4days 9Hours,2021,
255,30-Aug-21,August,East Delhi,Theft,52,No Action,Low,2days 4Hours,2021,
256,23-Mar-19,March,East Delhi,Murder,113,FIR Registered,High,4days 17Hours,2019,
257,10-Apr-22,April,South East Delhi,Domestic Violence,62,Accused Arrested,Hight,2days 14Hours,2022,
258,21-Jan-21,January,East Delhi,Kidnapping,113,Accused Arrested,High,4days 17Hours,2021,
259,21-Dec-19,December,East Delhi,Cyber Crime,58,No Action,Medium,2days 10Hours,2019,
260,18-Jan-21,January,North East Delhi,Assault,52,Case Closed,Medium,2days 4Hours,2021,
261,8-May-23,May,West Delhi,Cyber Crime,12,Under Investigation,Medium,0days 12Hours,2023,
262,31-Mar-22,March,North East Delhi,Murder,39,No Action,High,1days 15Hours,2022,
263,28-Aug-23,August,East Delhi,Murder,2,No Action,High,0days 2Hours,2023,
264,22-Aug-22,August,West Delhi,Assault,3,Case Closed,Medium,0days 3Hours,2022,
265,22-Sep-22,September,South Delhi,Kidnapping,113,FIR Registered,High,4days 17Hours,2022,
266,9-Jul-20,July,North East Delhi,Cyber Crime,101,No Action,Medium,4days 5Hours,2020,
267,23-May-20,May,South Delhi,Cyber Crime,113,FIR Registered,Medium,4days 17Hours,2020,
268,28-Feb-20,February,South Delhi,Cyber Crime,56,Accused Arrested,Medium,2days 8Hours,2020,
269,25-Nov-21,November,North West Delhi,Robbery,81,FIR Registered,Medium,3days 9Hours,2021,
270,21-Apr-23,April,South East Delhi,Kidnapping,59,Under Investigation,High,2days 11Hours,2023,
271,1-Aug-22,August,East Delhi,Cyber Crime,113,Under Investigation,Medium,4days 17Hours,2022,
272,19-Dec-19,December,South East Delhi,Robbery,2,Under Investigation,Medium,0days 2Hours,2019,
273,26-Feb-20,February,North West Delhi,Kidnapping,2,FIR Registered,High,0days 2Hours,2020,
274,5-Feb-21,February,North East Delhi,Murder,92,FIR Registered,High,3days 20Hours,2021,
275,19-Oct-20,October,North Delhi,Fraud,54,Accused Arrested,Medium,2days 6Hours,2020,
276,8-Jul-21,July,North East Delhi,Domestic Violence,87,Accused Arrested,Hight,3days 15Hours,2021,
277,11-Jul-22,July,West Delhi,Cyber Crime,101,Under Investigation,Medium,4days 5Hours,2022,
278,26-Jan-20,January,West Delhi,Assault,96,FIR Registered,Medium,4days 0Hours,2020,
279,26-May-21,May,West Delhi,Theft,97,Accused Arrested,Low,4days 1Hours,2021,
280,21-Jun-22,June,Central Delhi,Murder,1,FIR Registered,High,0days 1Hours,2022,
281,19-Sep-22,September,North West Delhi,Assault,19,Case Closed,Medium,0days 19Hours,2022,
282,1-Aug-23,August,West Delhi,Domestic Violence,2,Case Closed,Hight,0days 2Hours,2023,
283,16-Nov-19,November,Central Delhi,Murder,53,FIR Registered,High,2days 5Hours,2019,
284,11-May-22,May,West Delhi,Theft,44,Under Investigation,Low,1days 20Hours,2022,
285,19-Feb-21,February,North West Delhi,Theft,90,FIR Registered,Low,3days 18Hours,2021,
286,4-Feb-20,February,North West Delhi,Kidnapping,32,Accused Arrested,High,1days 8Hours,2020,
287,23-Oct-23,October,North West Delhi,Assault,70,FIR Registered,Medium,2days 22Hours,2023,
288,6-Apr-20,April,Central Delhi,Assault,32,FIR Registered,Medium,1days 8Hours,2020,
289,14-Aug-19,August,North Delhi,Fraud,119,Case Closed,Medium,4days 23Hours,2019,
